"spkid","name","neo"
20066391,Moshup,Y
20066400,,Y
20066407,,Y
20066959,,Y
20067367,,Y
20067381,,Y
20067399,,Y
20068031,,Y
20068063,,Y
20068216,,Y
20068267,,Y
20068278,,Y
20068346,,Y
20068347,,Y
20068348,,Y
20068350,,Y
20068359,,Y
20068372,,Y
20068548,,Y
20068950,,Y
20069230,Hermes,Y
20085182,,Y
20085184,,Y
20085236,,Y
20085275,,Y
20085490,,Y
20085585,Mjolnir,Y
20085628,,Y
20085640,,Y
20085709,,Y
20085713,,Y
20085770,,Y
20085774,,Y
20085804,,Y
20085818,,Y
20085839,,Y
20085867,,Y
20085938,,Y
20085953,,Y
20085989,,Y
20085990,,Y
20086039,,Y
20086067,,Y
20086324,,Y
20086326,,Y
20086450,,Y
20086666,,Y
20086667,,Y
20086819,,Y
20086829,,Y
20086878,,Y
20087024,,Y
20087025,,Y
20087309,,Y
20087311,,Y
20087684,,Y
20088188,,Y
20088213,,Y
20088254,,Y
20088263,,Y
20088264,,Y
20088710,,Y
20088959,,Y
20089136,,Y
20089355,,Y
20089830,,Y
20089958,,Y
20089959,,Y
20090075,,Y
20090147,,Y
20090367,,Y
20090373,,Y
20090403,,Y
20090416,,Y
20096189,Pygmalion,Y
20096315,,Y
20096536,,Y
20096590,,Y
20096631,,Y
20096744,,Y
20097725,,Y
20098943,Torifune,Y
20099248,,Y
20099799,,Y
20099907,,Y
20099935,,Y
20099942,Apophis,Y
20100004,,Y
20100085,,Y
20100756,,Y
20100926,,Y
20101869,,Y
20101873,,Y
20101955,Bennu,Y
20102873,,Y
20103067,,Y
20105140,,Y
20105141,,Y
20106538,,Y
20106589,,Y
20108519,,Y
20108906,,Y
20111253,,Y
20112221,,Y
20112985,,Y
20115052,,Y
20136564,,Y
20136582,,Y
20136617,,Y
20136618,,Y
20136635,,Y
20136745,,Y
20136770,,Y
20136773,,Y
20136793,,Y
20136795,Tatsunokingo,Y
20136818,Selqet,Y
20136839,,Y
20136849,,Y
20136874,,Y
20136897,,Y
20136900,,Y
20136923,,Y
20136993,,Y
20137032,,Y
20137044,,Y
20137052,Tjelvar,Y
20137062,,Y
20137064,,Y
20137078,,Y
20137084,,Y
20137099,,Y
20137108,,Y
20137120,,Y
20137125,,Y
20137126,,Y
20137158,,Y
20137170,,Y
20137175,,Y
20137199,,Y
20137427,,Y
20137671,,Y
20137799,,Y
20137802,,Y
20137805,,Y
20137911,,Y
20137924,,Y
20137925,,Y
20138013,,Y
20138095,,Y
20138127,,Y
20138155,,Y
20138175,,Y
20138205,,Y
20138258,,Y
20138325,,Y
20138359,,Y
20138404,,Y
20138524,,Y
20138727,,Y
20138815,,Y
20138846,,Y
20138847,,Y
20138852,,Y
20138859,,Y
20138877,,Y
20138883,,Y
20138893,,Y
20138911,,Y
20138925,,Y
20138937,,Y
20138947,,Y
20138971,,Y
20139047,,Y
20139056,,Y
20139211,,Y
20139289,,Y
20139345,,Y
20139359,,Y
20139622,,Y
20140039,,Y
20140158,,Y
20140288,,Y
20140333,,Y
20140928,,Y
20141018,,Y
20141052,,Y
20141053,,Y
20141056,,Y
20141078,,Y
20141079,,Y
20141354,,Y
20141424,,Y
20141432,,Y
20141447,,Y
20141484,,Y
20141495,,Y
20141498,,Y
20141525,,Y
20141526,,Y
20141527,,Y
20141531,,Y
20141593,,Y
20141614,,Y
20141670,,Y
20141761,,Y
20141765,,Y
20141851,,Y
20141874,,Y
20142040,,Y
20142348,,Y
20142464,,Y
20142555,,Y
20142561,,Y
20142563,,Y
20142781,,Y
20143381,,Y
20143404,,Y
20143409,,Y
20143487,,Y
20143527,,Y
20143624,,Y
20143637,,Y
20143643,,Y
20143649,,Y
20143651,,Y
20143678,,Y
20143947,,Y
20143992,,Y
20144332,,Y
20144411,,Y
20144861,,Y
20144898,,Y
20144900,,Y
20144901,,Y
20144922,,Y
20145656,,Y
20152558,,Y
20152560,,Y
20152561,,Y
20152563,,Y
20152564,,Y
20152575,,Y
20152637,,Y
20152664,,Y
20152667,,Y
20152671,,Y
20152679,,Y
20152680,,Y
20152685,,Y
20152742,,Y
20152754,,Y
20152756,,Y
20152770,,Y
20152787,,Y
20152828,,Y
20152889,,Y
20152895,,Y
20152931,,Y
20152941,,Y
20152942,,Y
20152952,,Y
20152964,,Y
20152978,,Y
20153002,,Y
20153195,,Y
20153201,,Y
20153219,,Y
20153220,,Y
20153243,,Y
20153249,,Y
20153267,,Y
20153271,,Y
20153306,,Y
20153311,,Y
20153315,,Y
20153349,,Y
20153415,,Y
20153460,,Y
20153591,,Y
20153792,,Y
20153814,,Y
20153842,,Y
20153951,,Y
20153953,,Y
20153957,,Y
20153958,,Y
20154007,,Y
20154019,,Y
20154020,,Y
20154029,,Y
20154035,,Y
20154144,,Y
20154229,,Y
20154244,,Y
20154268,,Y
20154269,,Y
20154275,,Y
20154276,,Y
20154278,,Y
20154300,,Y
20154302,,Y
20154330,,Y
20154347,,Y
20154453,,Y
20154555,,Y
20154589,,Y
20154590,,Y
20154631,,Y
20154652,,Y
20154656,,Y
20154658,,Y
20154715,,Y
20154807,,Y
20154988,,Y
20154991,Vinciguerra,Y
20154993,,Y
20155110,,Y
20155140,,Y
20155334,,Y
20155336,,Y
20155338,,Y
20155340,,Y
20155341,,Y
20159399,,Y
20159402,,Y
20159454,,Y
20159459,,Y
20159467,,Y
20159495,,Y
20159504,,Y
20159518,,Y
20159533,,Y
20159555,,Y
20159560,,Y
20159608,,Y
20159609,,Y
20159635,,Y
20159677,,Y
20159686,,Y
20159699,,Y
20159856,,Y
20159857,,Y
20159923,,Y
20159928,,Y
20159929,,Y
20161989,Cacus,Y
20161995,,Y
20161998,,Y
20161999,,Y
20162000,,Y
20162004,,Y
20162011,Konnohmaru,Y
20162015,,Y
20162038,,Y
20162039,,Y
20162058,,Y
20162063,,Y
20162080,,Y
20162082,,Y
20162116,,Y
20162117,,Y
20162120,,Y
20162142,,Y
20162149,,Y
20162157,,Y
20162161,,Y
20162162,,Y
20162168,,Y
20162173,Ryugu,Y
20162181,,Y
20162183,,Y
20162186,,Y
20162195,,Y
20162196,,Y
20162210,,Y
20162214,,Y
20162215,,Y
20162269,,Y
20162273,,Y
20162361,,Y
20162385,,Y
20162416,,Y
20162421,,Y
20162422,,Y
20162433,,Y
20162452,,Y
20162463,,Y
20162470,,Y
20162472,,Y
20162474,,Y
20162483,,Y
20162510,,Y
20162566,,Y
20162567,,Y
20162581,,Y
20162635,,Y
20162679,,Y
20162687,,Y
20162694,,Y
20162695,,Y
20162698,,Y
20162723,,Y
20162740,,Y
20162741,,Y
20162781,,Y
20162783,,Y
20162825,,Y
20162854,,Y
20162873,,Y
20162882,,Y
20162900,,Y
20162903,,Y
20162911,,Y
20162913,,Y
20162922,,Y
20162926,,Y
20162979,,Y
20162980,,Y
20162998,,Y
20163000,,Y
20163001,,Y
20163014,,Y
20163015,,Y
20163023,,Y
20163026,,Y
20163051,,Y
20163067,,Y
20163070,,Y
20163081,,Y
20163132,,Y
20163191,,Y
20163243,,Y
20163249,,Y
20163250,,Y
20163252,,Y
20163295,,Y
20163335,,Y
20163348,,Y
20163364,,Y
20163373,,Y
20163412,,Y
20163454,,Y
20163667,,Y
20163679,,Y
20163683,,Y
20163691,,Y
20163692,,Y
20163693,Atira,Y
20163694,,Y
20163696,,Y
20163697,,Y
20163732,,Y
20163758,,Y
20163760,,Y
20163818,,Y
20163899,,Y
20163902,,Y
20164120,,Y
20164121,,Y
20164184,,Y
20164201,,Y
20164202,,Y
20164206,,Y
20164207,,Y
20164211,,Y
20164214,,Y
20164215,Doloreshill,Y
20164216,,Y
20164217,,Y
20164221,,Y
20164222,,Y
20164294,,Y
20164341,,Y
20164342,,Y
20164400,,Y
20168044,,Y
20168318,,Y
20168378,,Y
20168791,,Y
20169352,,Y
20169675,,Y
20170013,,Y
20170086,,Y
20170502,,Y
20170891,,Y
20170903,,Y
20171486,,Y
20171576,,Y
20171819,,Y
20171839,,Y
20172034,,Y
20172678,,Y
20172718,,Y
20172722,,Y
20172974,,Y
20173232,,Y
20173561,,Y
20173664,,Y
20173689,,Y
20174050,,Y
20174806,,Y
20174881,,Y
20175114,,Y
20175189,,Y
20175706,,Y
20175729,,Y
20175921,,Y
20177016,,Y
20177049,,Y
20177255,,Y
20177614,,Y
20177651,,Y
20178601,,Y
20178871,,Y
20179806,,Y
20180186,,Y
20183548,,Y
20184266,,Y
20184990,,Y
20185702,,Y
20185716,,Y
20185851,,Y
20185853,,Y
20186822,,Y
20186823,,Y
20186844,,Y
20187026,,Y
20187040,,Y
20188174,,Y
20188452,,Y
20189008,,Y
20189011,Ogmios,Y
20189040,,Y
20189058,,Y
20189062,,Y
20189173,,Y
20189263,,Y
20189552,,Y
20189630,,Y
20189700,,Y
20189865,,Y
20189973,,Y
20190119,,Y
20190135,,Y
